nb_repet;gallery_size;nb_probes;im_per_pers;db_test;model name;thresh;distance metric;nb_correct_vote;nb_correct_dist;ComputationTime
1;8;3;10;cfp70;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;5;Manhattan;1.0;1.0;1;20;5;10;cfp70;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;1.0;2.0
6;20;5;10;cfp70;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;7;Manhattan;0.6666666666666666;1.0;314.60728192329407
6;20;5;3;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;1.8333333333333333;2.6666666666666665;308.6565911769867
6;20;5;3;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;2.1666666666666665;3.0;303.9400782585144
6;20;5;3;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;2.3333333333333335;2.6666666666666665;322.45741987228394
6;20;5;3;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;2.6666666666666665;3.0;311.53857707977295
6;20;5;3;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;1.6666666666666667;3.0;340.91245794296265
6;20;5;3;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;1.5;0.6666666666666666;384.4282612800598
6;20;5;3;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;0.6666666666666666;1.3333333333333333;589.8113057613373
6;20;5;3;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;1.8333333333333333;2.0;397.053594827652
6;20;5;3;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;1.3333333333333333;0.6666666666666666;442.65613412857056
6;20;5;3;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;0.5;0.6666666666666666;355.10194277763367
6;20;5;3;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;1.1666666666666667;1.3333333333333333;382.1074321269989
6;20;5;3;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;0.8333333333333334;1.8333333333333333;375.91208600997925
6;20;5;3;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;0.3333333333333333;1.6666666666666667;334.47997283935547
6;20;5;3;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;1.5;1.6666666666666667;297.55545687675476
6;20;5;3;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;0.5;1.1666666666666667;303.9192979335785
6;20;5;3;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;2.3333333333333335;2.5;79.86104083061218
6;20;5;3;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;1.1666666666666667;0.8333333333333334;79.86639785766602
6;20;5;3;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;1.1666666666666667;1.0;80.20746111869812
6;20;5;3;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;1.3333333333333333;1.6666666666666667;80.79600596427917
6;20;5;3;lfw;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;2.0;3.3333333333333335;83.16103219985962
6;20;5;3;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;0.5;1.0;83.08511400222778
6;20;5;3;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;0.6666666666666666;0.8333333333333334;81.60819411277771
6;20;5;3;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;0.3333333333333333;0.8333333333333334;82.15979290008545
6;20;5;3;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;0.16666666666666666;0.5;82.32562613487244
6;20;5;3;testdb;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;0.6666666666666666;0.8333333333333334;82.84989309310913
6;20;5;4;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;1.3333333333333333;2.5;270.4126160144806
6;20;5;4;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;2.0;2.1666666666666665;270.2386510372162
6;20;5;4;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;2.3333333333333335;2.6666666666666665;266.2122948169708
6;20;5;4;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;1.8333333333333333;2.5;266.99947118759155
6;20;5;4;cfp;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;1.5;2.3333333333333335;268.03153109550476
6;20;5;4;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;1.0;0.8333333333333334;395.73531889915466
6;20;5;4;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;1.6666666666666667;1.8333333333333333;1037.782380104065
6;20;5;4;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;0.3333333333333333;0.6666666666666666;345.21662306785583
6;20;5;4;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;4;Manhattan;1.6666666666666667;1.0;399.6588292121887
6;20;5;4;gbrieven;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;3;Manhattan;0.8333333333333334;0.8333333333333334;247.3157639503479
6;20;5;4;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;10;Manhattan;1.0;1.8333333333333333;290.82121777534485
6;20;5;4;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;8;Manhattan;0.6666666666666666;2.3333333333333335;276.9600052833557
6;20;5;4;faceScrub;dsgbrievencfplfwfaceScrub_diff_100_32_triplet_loss_pretrainautoencoder.pt;6;Manhattan;1.0;1.0;309.18753004074097
